Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
344,57.5723,5.94454,0.000143859,0.0323796,88827.1,No
345,57.5729,5.94475,0.0108875,0.0385917,88753,No
346,57.5736,5.94525,0.0216375,0.0448117,88663.7,No
347,57.5743,5.94595,0.0284595,0.0481977,88565.3,No
348,57.5751,5.94682,0.0344982,0.0510197,88458.7,No
349,57.5758,5.94785,0.0405423,0.0538467,88344.8,No
350,57.5767,5.94885,0.040088,0.0557044,88228.5,No
351,57.5775,5.94979,0.0383336,0.0573695,88109.8,No
352,57.5784,5.95067,0.0365789,0.0590362,87989.3,No
353,57.5793,5.95149,0.0349059,0.0606225,87866.7,No
354,57.5802,5.95225,0.0332455,0.0621794,87742.3,No
355,57.5812,5.95296,0.0315807,0.0637218,87615.8,No
356,57.5822,5.95365,0.0312744,0.0667666,87484.2,No
357,57.5833,5.95433,0.0312411,0.0701117,87346.6,No
358,57.5845,5.95499,0.031209,0.0734546,87203.6,No
359,57.5857,5.95562,0.0307171,0.075717,87056.8,No
360,57.5869,5.95622,0.0301369,0.0777768,86906.6,No
361,57.5882,5.9568,0.0295606,0.0798515,86752.8,No
362,57.5896,5.95726,0.0267289,0.085177,86591,No
363,57.5911,5.95759,0.0234328,0.091168,86420.7,No
364,57.5927,5.95779,0.0201216,0.0971791,86241.7,No
365,57.5944,5.95789,0.0174309,0.102908,86053.9,No
366,57.5963,5.95788,0.0148781,0.108571,85857.7,No
367,57.5982,5.9577,0.0123392,0.114227,85654.6,No
368,57.6003,5.95693,-0.00618506,0.116333,85457.4,No
369,57.6025,5.95547,-0.0279805,0.117712,85268.6,No
370,57.6048,5.95333,-0.049869,0.119064,85088.1,No
371,57.6072,5.95063,-0.0672832,0.12277,84910.4,No
372,57.6099,5.9474,-0.0837491,0.126999,84734.8,No
373,57.6127,5.9437,-0.10016,0.13129,84559,No
374,57.6157,5.93999,-0.0988596,0.143831,84361.9,No
375,57.6189,5.93636,-0.0939539,0.157998,84139.2,No
376,57.6225,5.93278,-0.0889614,0.172145,83889.1,No
377,57.6263,5.92917,-0.0879668,0.195905,83589.5,No
378,57.6306,5.92549,-0.087648,0.221446,83241.7,No
379,57.6353,5.92173,-0.0871386,0.246815,82855.6,No
380,57.64,5.91803,-0.084143,0.251637,82462,No
381,57.6448,5.91441,-0.0809053,0.252119,82067.5,No
382,57.6496,5.91077,-0.0779209,0.252323,81677.8,No
383,57.6543,5.90638,-0.102719,0.239217,81326.7,No
384,57.6589,5.90111,-0.132928,0.223677,81021.5,No
385,57.6633,5.89502,-0.162991,0.208301,80761.2,No
386,57.6677,5.88844,-0.180852,0.197165,80530.7,No
387,57.672,5.88143,-0.196523,0.187096,80326.6,No
388,57.6762,5.87408,-0.212454,0.177295,80154,No
389,57.6801,5.8671,-0.20374,0.158592,80012.8,No
390,57.6835,5.86066,-0.190091,0.138083,79902,No
391,57.6866,5.85472,-0.176447,0.117578,79819.3,No
392,57.6894,5.84922,-0.164204,0.107237,79748.4,No
393,57.6921,5.84413,-0.152155,0.0988947,79686.4,No
394,57.6945,5.83944,-0.140024,0.0905189,79621.5,No
395,57.6966,5.83511,-0.128081,0.0887209,79534.1,No
396,57.6987,5.83115,-0.11614,0.0882262,79443,No
397,57.7007,5.82757,-0.104158,0.0877168,79348.5,No
398,57.7026,5.82438,-0.0920036,0.0846517,79254,No
399,57.7044,5.82158,-0.0798399,0.0810723,79159.6,No
400,57.7061,5.81914,-0.0676962,0.0774885,79065.5,No
401,57.7077,5.8169,-0.0615767,0.0750068,78972.7,No
402,57.7093,5.81482,-0.056653,0.0727321,78881.2,No
403,57.7108,5.81289,-0.0517205,0.0704413,78790.3,No
