Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
355,57.1656,6.00655,0.0172205,0.0259307,121649,No
356,57.1656,6.00656,0.0172402,0.0259116,121647,No
357,57.1657,6.00657,0.0172599,0.0258925,121645,No
358,57.1657,6.00658,0.0172796,0.0258734,121643,No
359,57.1657,6.00659,0.0172993,0.0258543,121641,No
360,57.1657,6.0066,0.0173198,0.0258359,121639,No
361,57.1657,6.00661,0.0173403,0.0258176,121637,No
362,57.1657,6.00662,0.0173607,0.0257993,121635,No
363,57.1658,6.00663,0.0173812,0.025781,121633,No
364,57.1658,6.00664,0.0174017,0.0257626,121631,No
365,57.1658,6.00665,0.0174222,0.0257443,121629,No
366,57.1658,6.00666,0.0174427,0.025726,121627,No
367,57.1658,6.00667,0.0174631,0.0257076,121625,No
368,57.1658,6.00668,0.0174836,0.0256893,121623,No
369,57.1658,6.00669,0.0175041,0.0256709,121621,No
370,57.1659,6.0067,0.0175246,0.0256526,121619,No
371,57.1659,6.0067,0.0175451,0.0256343,121617,No
372,57.1659,6.00671,0.0175656,0.0256159,121615,No
373,57.1659,6.00672,0.0175861,0.0255976,121613,No
374,57.1659,6.00673,0.0176067,0.0255792,121611,No
375,57.1659,6.00674,0.0176272,0.0255609,121609,No
376,57.166,6.00675,0.0176477,0.0255425,121607,No
377,57.166,6.00676,0.0176682,0.0255242,121605,No
378,57.166,6.00677,0.0176887,0.0255058,121603,No
379,57.166,6.00678,0.0177093,0.0254875,121601,No
380,57.166,6.00679,0.0177298,0.0254691,121599,No
381,57.166,6.0068,0.0177503,0.0254508,121597,No
382,57.166,6.00681,0.0177708,0.0254324,121595,No
383,57.1661,6.00682,0.0177914,0.025414,121593,No
384,57.1661,6.00683,0.0178119,0.0253957,121591,No
385,57.1661,6.00684,0.0178325,0.0253773,121589,No
386,57.1661,6.00685,0.017853,0.0253589,121587,No
387,57.1661,6.00686,0.0178736,0.0253406,121585,No
388,57.1661,6.00687,0.0178941,0.0253222,121583,No
389,57.1662,6.00688,0.0179147,0.0253038,121581,No
390,57.1662,6.00689,0.0179352,0.0252854,121579,No
391,57.1662,6.0069,0.0179558,0.0252671,121577,No
392,57.1662,6.00691,0.0179764,0.0252487,121575,No
393,57.1662,6.00691,0.0179969,0.0252303,121573,No
394,57.1662,6.00692,0.0180175,0.0252119,121571,No
395,57.1662,6.00693,0.0180381,0.0251936,121569,No
396,57.1663,6.00694,0.0180587,0.0251752,121567,No
397,57.1663,6.00695,0.0180792,0.0251568,121565,No
398,57.1663,6.00696,0.0180998,0.0251384,121563,No
399,57.1663,6.00697,0.0181204,0.02512,121561,No
400,57.1663,6.00698,0.018141,0.0251016,121559,No
401,57.1663,6.00699,0.0181616,0.0250832,121557,No
402,57.1663,6.007,0.0181822,0.0250648,121555,No
403,57.1664,6.00701,0.0182028,0.0250464,121553,No
404,57.1664,6.00702,0.0182234,0.025028,121551,No
405,57.1664,6.00703,0.018244,0.0250096,121549,No
406,57.1664,6.00704,0.0182646,0.0249912,121547,No
407,57.1664,6.00705,0.0182852,0.0249728,121545,No
408,57.1664,6.00706,0.0183058,0.0249544,121543,No
409,57.1665,6.00707,0.0183265,0.024936,121541,No
410,57.1665,6.00708,0.0183471,0.0249176,121539,No
411,57.1665,6.00709,0.0183677,0.0248992,121537,No
412,57.1665,6.0071,0.0183883,0.0248808,121535,No
413,57.1665,6.00711,0.018409,0.0248624,121533,No
414,57.1665,6.00712,0.0184296,0.024844,121531,No
415,57.1665,6.00713,0.0184502,0.0248256,121529,No
416,57.1666,6.00714,0.0184709,0.0248071,121527,No
417,57.1666,6.00715,0.0184915,0.0247887,121525,No
418,57.1666,6.00716,0.0185121,0.0247703,121523,No
419,57.1666,6.00717,0.0185328,0.0247519,121521,No
420,57.1666,6.00718,0.0185534,0.0247335,121519,No
421,57.1666,6.00719,0.0185741,0.024715,121517,No
422,57.1667,6.0072,0.0185948,0.0246966,121515,No
423,57.1667,6.00721,0.0186154,0.0246783,121513,No
424,57.1667,6.00722,0.0186361,0.0246599,121512,No
425,57.1667,6.00723,0.0186568,0.0246415,121510,No
426,57.1667,6.00724,0.0186774,0.0246232,121508,No
427,57.1667,6.00725,0.0186981,0.0246048,121507,No
428,57.1667,6.00726,0.0187188,0.0245864,121505,No
429,57.1667,6.00727,0.0187395,0.0245681,121503,No
430,57.1667,6.00728,0.0187601,0.0245497,121502,No
431,57.1668,6.00729,0.0187808,0.0245313,121500,No
432,57.1668,6.0073,0.0188015,0.0245129,121498,No
433,57.1668,6.00731,0.0188222,0.0244945,121497,No
434,57.1668,6.00732,0.0188429,0.0244762,121495,No
435,57.1668,6.00733,0.0188636,0.0244578,121493,No
436,57.1668,6.00734,0.0188843,0.0244394,121492,No
437,57.1668,6.00735,0.018905,0.024421,121490,No
438,57.1668,6.00736,0.0189257,0.0244026,121488,No
439,57.1668,6.00737,0.0189464,0.0243842,121487,No
440,57.1669,6.00738,0.0189671,0.0243658,121485,No
441,57.1669,6.00739,0.0189878,0.0243475,121483,No
442,57.1669,6.0074,0.0190085,0.0243291,121482,No
443,57.1669,6.00741,0.0190292,0.0243107,121480,No
444,57.1669,6.00742,0.0190499,0.0242923,121478,No
445,57.1669,6.00744,0.0190706,0.0242739,121476,No
446,57.1669,6.00745,0.0190913,0.0242555,121475,No
447,57.1669,6.00746,0.019112,0.0242371,121473,No
448,57.1669,6.00747,0.0191327,0.0242187,121471,No
449,57.167,6.00748,0.0191535,0.0242003,121470,No
450,57.167,6.00749,0.0191742,0.0241819,121468,No
451,57.167,6.0075,0.0191949,0.0241635,121466,No
452,57.167,6.00751,0.0192156,0.0241451,121465,No
453,57.167,6.00752,0.0192364,0.0241267,121463,No
454,57.167,6.00753,0.0192571,0.0241083,121461,No
455,57.167,6.00754,0.0192778,0.0240899,121459,No
456,57.167,6.00755,0.0192985,0.0240715,121458,No
457,57.1671,6.00756,0.0193193,0.0240531,121456,No
458,57.1671,6.00757,0.01934,0.0240347,121454,No
459,57.1671,6.00758,0.0193608,0.0240163,121453,No
460,57.1671,6.00759,0.0193815,0.0239979,121451,No
461,57.1671,6.0076,0.0194022,0.0239795,121449,No
462,57.1671,6.00761,0.019423,0.023961,121448,No
463,57.1671,6.00762,0.0194437,0.0239426,121446,No
464,57.1671,6.00763,0.0194645,0.0239242,121444,No
465,57.1671,6.00765,0.0194852,0.0239058,121443,No
466,57.1672,6.00766,0.019506,0.0238874,121441,No
467,57.1672,6.00767,0.0195267,0.023869,121439,No
468,57.1672,6.00768,0.0195475,0.0238505,121437,No
469,57.1672,6.00769,0.0195683,0.0238321,121436,No
470,57.1672,6.0077,0.019589,0.0238137,121434,No
471,57.1672,6.00771,0.0196098,0.0237953,121432,No
472,57.1672,6.00772,0.0196306,0.0237769,121431,No
473,57.1672,6.00773,0.0196513,0.0237584,121429,No
474,57.1672,6.00774,0.0196721,0.02374,121427,No
475,57.1673,6.00775,0.0196929,0.0237216,121426,No
476,57.1673,6.00776,0.0197136,0.0237031,121424,No
477,57.1673,6.00777,0.0197344,0.0236847,121422,No
478,57.1673,6.00778,0.0197552,0.0236663,121420,No
479,57.1673,6.00779,0.019776,0.0236478,121419,No
480,57.1673,6.0078,0.0199096,0.0235233,121417,No
481,57.1673,6.00781,0.0200432,0.0233987,121415,No
