Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore
429,58.0913,5.9987,0.026862,0.0698144,32136.1
430,58.0936,5.99964,0.0283494,0.0706781,31858.8
431,58.0961,6.00077,0.0340874,0.0753811,31557.2
432,58.0987,6.00212,0.0406677,0.0808654,31227.3
433,58.1015,6.00367,0.0472373,0.0863701,30871.6
434,58.1045,6.00536,0.0517724,0.0921712,30489.5
435,58.1078,6.00719,0.0558864,0.098023,30082.1
436,58.1111,6.00916,0.0599823,0.103869,29648.8
437,58.1148,6.01133,0.066192,0.110474,29184.8
438,58.1186,6.01372,0.0728363,0.117237,28689.4
439,58.1226,6.01623,0.0794938,0.124011,28167.8
440,58.1268,6.01814,0.0615027,0.128034,27656.9
441,58.1311,6.01931,0.0386596,0.130841,27168.3
442,58.1354,6.01965,0.0162235,0.133572,26707.4
443,58.1398,6.01855,-0.0279222,0.134702,26308.5
444,58.1443,6.0159,-0.0755429,0.135499,25983.9
445,58.1487,6.01186,-0.122273,0.136257,25732.2
446,58.1533,6.00737,-0.136995,0.139052,25505
447,58.1579,6.00261,-0.145242,0.142276,25227.1
448,58.1627,5.9976,-0.153297,0.14553,24825.4
449,58.1675,5.99242,-0.158667,0.14841,24427.9
450,58.1724,5.98708,-0.16347,0.151192,24043.7
451,58.1774,5.98163,-0.168243,0.153977,23680.4
452,58.182,5.97637,-0.162847,0.143245,23372.5
453,58.1862,5.97135,-0.155644,0.130164,23122.5
454,58.19,5.96651,-0.14864,0.117397,22921.4
455,58.1939,5.96161,-0.150553,0.118604,22736.7
456,58.1978,5.95659,-0.154288,0.122627,22564.2
457,58.202,5.95144,-0.158097,0.126719,22408.8
458,58.2061,5.9461,-0.164021,0.128471,22281.7
459,58.2103,5.94055,-0.170482,0.129836,22186.6
460,58.2146,5.93483,-0.177096,0.131305,22127
461,58.2186,5.92922,-0.17387,0.12633,22104.1
462,58.2225,5.92378,-0.168762,0.120127,22078.4
463,58.2261,5.91852,-0.163742,0.113976,21929.4
464,58.2295,5.91357,-0.154193,0.10682,21739.4
465,58.2327,5.90897,-0.143639,0.0994442,21563.8
466,58.2357,5.90469,-0.132973,0.0920356,21302.2
467,58.2387,5.90058,-0.127464,0.0916647,20951.7
468,58.2417,5.89662,-0.122955,0.0926222,20607.5
469,58.2447,5.8928,-0.118405,0.0934921,20270.4
470,58.2476,5.88904,-0.116173,0.09174,19948.3
471,58.2505,5.88535,-0.114308,0.089443,19642.9
472,58.2533,5.88172,-0.112336,0.0871111,19355
473,58.2561,5.87819,-0.109354,0.0863867,19077.9
474,58.2589,5.87476,-0.106192,0.0859633,18810
475,58.2616,5.87145,-0.102865,0.085066,18551.5
476,58.2644,5.8683,-0.097587,0.0837835,18302.8
477,58.267,5.86534,-0.09189,0.0824493,18064.7
478,58.2696,5.86259,-0.0861649,0.0811421,17835.7
479,58.2722,5.86012,-0.0770542,0.0788742,17613.2
480,58.2747,5.85798,-0.0673027,0.0764224,17399.2
481,58.2771,5.85614,-0.05759,0.0739809,17187.4
482,58.2794,5.85455,-0.049787,0.0730844,16978
483,58.2818,5.8532,-0.042382,0.0724808,16765.1
484,58.2841,5.85207,-0.0350106,0.0718618,16549.1
485,58.2865,5.85095,-0.0343606,0.0726134,16334.4
486,58.2889,5.84981,-0.0350725,0.0736282,16118.8
487,58.2913,5.84863,-0.0358097,0.0746287,15902.1
