Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
381,57.9468,6.08451,-0.0776408,0.22751,44613.1,No
382,57.9537,6.08185,-0.0789729,0.212165,43948.6,No
383,57.9605,6.07837,-0.10348,0.209025,43304.9,No
384,57.9673,6.07396,-0.132225,0.208714,42690.9,No
385,57.974,6.06868,-0.160573,0.208727,42115.5,No
386,57.9805,6.06295,-0.175074,0.201453,41594.9,No
387,57.9868,6.05682,-0.18715,0.193014,41131.8,No
388,57.9927,6.05041,-0.199567,0.18493,40730.3,No
389,57.998,6.04444,-0.186508,0.166377,40380.7,No
390,58.0026,6.03905,-0.168501,0.145806,40045,No
391,58.0066,6.03423,-0.150661,0.125342,39747.9,No
392,58.0103,6.02984,-0.137156,0.115163,39481.8,No
393,58.0138,6.02586,-0.124383,0.10699,39239.6,No
394,58.017,6.02228,-0.111489,0.0987776,39016.7,No
395,58.0201,6.01899,-0.102584,0.0961474,38798.7,No
396,58.0231,6.01596,-0.0944478,0.0946121,38582.3,No
397,58.0261,6.01321,-0.0862739,0.0930492,38365.4,No
398,58.029,6.01077,-0.0762985,0.0889143,38149.5,No
399,58.0317,6.00868,-0.0659782,0.0842536,37935,No
400,58.0343,6.0069,-0.0556739,0.0795793,37726.8,No
401,58.0367,6.00535,-0.0485597,0.0742221,37530.9,No
402,58.0389,6.00401,-0.0420726,0.068709,37347.9,No
403,58.0409,6.00287,-0.0355768,0.0631755,37174.6,No
404,58.043,6.00179,-0.0331919,0.0644937,36994.6,No
405,58.0452,6.00077,-0.0316132,0.0671501,36805.1,No
406,58.0475,5.9998,-0.0300144,0.0697641,36605,No
407,58.0499,5.99884,-0.0296938,0.0735172,36392.8,No
408,58.0524,5.99787,-0.0296504,0.0775528,36167.7,No
409,58.055,5.99692,-0.0296315,0.0816479,35933.2,No
410,58.0576,5.99609,-0.0261788,0.0783661,35706.8,No
411,58.0599,5.99539,-0.0220755,0.0736146,35491.3,No
412,58.0622,5.99482,-0.0180129,0.0688779,35286.3,No
413,58.0642,5.9944,-0.0136307,0.0648949,35089.2,No
414,58.0662,5.99412,-0.00921051,0.061044,34899.6,No
415,58.068,5.99397,-0.00482065,0.0571772,34717.1,No
416,58.0698,5.99391,-0.00223907,0.0533852,34544,No
417,58.0714,5.99392,-2.36298e-05,0.0496072,34380.5,No
418,58.0728,5.99399,0.00218433,0.0458261,34225.9,No
419,58.0742,5.9941,0.00320511,0.0436733,34077.5,No
